Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Supplier Name,Supplier Contact,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Availability (Online/Store),Minimum Order Quantity,Return Policy,Seasonal Product,Supplier Location,Manufacturing Process,Product Ratings,Product Images
NRRY7LZZ,Monitor,Clothing,Product_KQDTN,82.44,90,Supplier_NEQ,7FB0V@supplier.com,3,15x12x18 cm,2023-01-01,2024-01-01,JJ7FG1,"Y7J,PIE",Blue/Medium,Both,4,Exchange Only,No,Location_K4VXX,Automated,3,img_EBXVU.jpg
F7TEEUE1,Smartphone,Home Appliances,Product_P3VE1,142.54,77,Supplier_ELG,1AZ8T@supplier.com,3,11x15x7 cm,2023-03-15,2024-01-01,ID2N9H,"SYW,VD6",Blue/Medium,Both,1,No Returns,Yes,Location_1L7TB,Manual,5,img_FCHPL.jpg
U1AJQ6PK,Headphones,Clothing,Product_NNDF7,363.27,40,Supplier_Y83,71QZH@supplier.com,2,13x18x17 cm,2023-07-30,2024-01-01,QUNF16,"M1U,26U",Blue/Medium,Both,3,30 Days,Yes,Location_B1PR8,Manual,2,img_MY9SI.jpg
CQIT39HH,Monitor,Clothing,Product_TDDR7,127.03,54,Supplier_LWK,XUIQA@supplier.com,3,11x15x20 cm,2023-03-15,2025-01-01,PR4W2A,"PN6,EZ0",Red/Small,Store,3,Exchange Only,No,Location_2KFT7,Automated,4,img_NV02C.jpg
U3TOVDSC,Smartphone,Electronics,Product_BX63K,404.1,91,Supplier_U9F,TGITI@supplier.com,2,10x18x16 cm,2023-01-01,2026-01-01,4HTY28,"VIZ,5F2",Green/Large,Online,1,No Returns,Yes,Location_S7LW9,Automated,1,img_IRYRV.jpg
OODJ8BJL,Smartphone,Electronics,Product_YM60M,107.55,28,Supplier_2DM,T61XR@supplier.com,2,18x15x14 cm,2023-07-30,2026-01-01,KID8RP,"GB2,H7L",Green/Large,Store,3,Exchange Only,No,Location_OYDOS,Automated,5,img_QO0V6.jpg
4W7GXJ9T,Laptop,Electronics,Product_G4QK8,104.26,67,Supplier_9ZI,78XCW@supplier.com,3,13x12x15 cm,2023-01-01,2024-01-01,LVRPOF,"JD5,6NU",Blue/Medium,Both,3,Exchange Only,No,Location_WHZAJ,Manual,1,img_W3DS6.jpg
3BGEHKSX,Smartphone,Clothing,Product_V2M4R,35.15,35,Supplier_PHR,RCKIP@supplier.com,1,15x13x12 cm,2023-07-30,2026-01-01,4M5ZS9,"EVZ,9JW",Blue/Medium,Store,5,30 Days,Yes,Location_OXJDC,Automated,2,img_NUQIX.jpg
JXSYN3LI,Headphones,Home Appliances,Product_CQDOW,318.64,24,Supplier_H5Y,ZWGIS@supplier.com,1,15x6x8 cm,2023-01-01,2026-01-01,Y80TYH,"N98,C16",Red/Small,Both,5,30 Days,No,Location_KPWUB,Manual,1,img_PI0GT.jpg
OI87A3T7,Laptop,Clothing,Product_0KSJT,236.42,47,Supplier_2ZX,YGD8Y@supplier.com,1,5x12x6 cm,2023-03-15,2026-01-01,5MT4G3,"RCQ,8YD",Red/Small,Both,4,30 Days,No,Location_8ZLO2,Manual,5,img_KEIE9.jpg
