Order ID,Tracking ID,Shipment Mode,Shipping Address,Delivery Date,Order Value,Product Description,Shipment Status,Order Total,Product ID,Return Status,Estimated Delivery Date,Customs Clearance Status,Tracking Events,Shipment Cost
O89D76QRX3,YKS8SKSP,Air,"VLCU9L8FBQ Street, City, Country",2023-12-15,460.36,Product_XIJBS,Delivered,482.08,J2T4IEOS,Returned,2023-12-15,Cleared,Event_JS07H,23.64
1QAOGWCX3Z,5QOLY4IW,Land,"FQAYPK1LE5 Street, City, Country",2023-12-20,347.09,Product_JOS9W,In Transit,415.0,7XK8E3UM,Returned,2023-12-10,Cleared,Event_ZDVGL,23.68
0EA0NKY0JV,341WIAEZ,Air,"YESXAF97NI Street, City, Country",2023-12-10,481.73,Product_56U9I,In Transit,727.32,1UD7BCFY,Returned,2023-12-20,Cleared,Event_NMNFG,48.49
XJZ2IQJPWJ,WNGXBDD7,Air,"QUSF2ON415 Street, City, Country",2023-12-10,407.41,Product_E2GQ5,Delivered,928.12,LZCUCTF0,Returned,2023-12-15,Cleared,Event_H7BV5,23.7
4JGS5PEZBL,XZWL6QLH,Air,"M9GWHEJ6MB Street, City, Country",2023-12-15,90.9,Product_SV4S6,In Transit,883.19,661566W4,Not Returned,2023-12-20,Pending,Event_NWQCL,47.03
YH514T90QP,6EZQ9EWI,Sea,"KZXUMQJ5JA Street, City, Country",2023-12-20,65.95,Product_BUI5X,Shipped,448.41,GKAXFL0X,Not Returned,2023-12-20,Cleared,Event_034W3,26.47
MACUIAF471,WFOKOIFK,Sea,"EBDKU4KLU3 Street, City, Country",2023-12-20,196.77,Product_G1JI9,In Transit,426.78,8EUSBIL8,Returned,2023-12-10,Cleared,Event_MPCF8,14.35
U7RDV0XC2O,2YWIQO8N,Sea,"EJFY3HGSJX Street, City, Country",2023-12-10,228.4,Product_4J6L8,Delivered,605.68,NOB17VEP,Not Returned,2023-12-15,Pending,Event_LO918,48.88
4N7VXEQJG1,DPXL8WFF,Sea,"PNC6DDPUG3 Street, City, Country",2023-12-20,81.81,Product_5HUBC,In Transit,546.68,GJMD6F5U,Returned,2023-12-20,Pending,Event_VAW2E,28.54
ZNZFBVOSZY,UGTYEL4R,Land,"PYFQFQ9VSS Street, City, Country",2023-12-20,213.83,Product_ZAU4Y,In Transit,439.94,6UQANH92,Not Returned,2023-12-20,Cleared,Event_978CA,22.65
70VJZKLIC9,791C6DNJ,Land,"K0RJ6C6HW9 Street, City, Country",2023-12-20,56.15,Product_1QO0E,In Transit,298.43,25LT2K0F,Returned,2023-12-10,Pending,Event_IZ0CF,37.61
5S6BWFXF5R,FJU57BTK,Air,"QCBXT5NCH6 Street, City, Country",2023-12-20,345.87,Product_8ASXM,Delivered,681.68,JMZILWFW,Returned,2023-12-15,Cleared,Event_D9D8J,49.0
D7AVRSZW1E,43IDYK67,Land,"RRHT16WITP Street, City, Country",2023-12-20,299.54,Product_1HPQT,Shipped,554.65,2LTG22PP,Returned,2023-12-20,Cleared,Event_0JIJQ,40.66
8MXSM34W5G,75MRJ15W,Land,"D0N3CA7215 Street, City, Country",2023-12-15,381.26,Product_63328,In Transit,261.59,YWM6DNY3,Not Returned,2023-12-10,Pending,Event_76QJA,42.51
VZLDE45KMN,I8Q3TLRU,Air,"6S2DTBAGNQ Street, City, Country",2023-12-10,335.66,Product_Z4GAT,Shipped,634.69,RZJDAL27,Not Returned,2023-12-15,Cleared,Event_R4J29,46.88
UZX53SXDKD,1A95XOTP,Air,"8VNXQU6WFJ Street, City, Country",2023-12-15,197.71,Product_7L1WP,Shipped,509.19,XLCS7FQ8,Returned,2023-12-20,Cleared,Event_86RUM,18.43
7A9X82U57Z,STTMQMB5,Land,"MB7AD5LKEU Street, City, Country",2023-12-15,268.38,Product_YGBX3,In Transit,332.26,1L045AJP,Returned,2023-12-10,Pending,Event_RU0NK,15.29
4VTWBIJ84X,ZB60P95I,Land,"DHYPTEPLUV Street, City, Country",2023-12-10,133.4,Product_G52GZ,Delivered,367.37,2QOMLIZZ,Returned,2023-12-20,Cleared,Event_6NN7Z,18.17
T5ZS91EUYC,RJ4ZU8TI,Air,"2LISGD75P0 Street, City, Country",2023-12-15,465.63,Product_NLRHQ,Shipped,767.26,T64US6D9,Returned,2023-12-20,Pending,Event_0TEZS,14.66
E5WTVBXEY7,QVWJNLRX,Air,"AKIHF6WXL7 Street, City, Country",2023-12-10,444.77,Product_8LJV7,Shipped,380.48,B9JFWU0B,Not Returned,2023-12-20,Pending,Event_VTWT8,28.54
9P0M4VIAJI,VP0VJUM6,Air,"FTNR1RP1MQ Street, City, Country",2023-12-20,132.64,Product_I5BIB,Delivered,722.43,XC0VF9TY,Not Returned,2023-12-10,Cleared,Event_60CUL,47.01
B9QBOEVVF7,B314IC4B,Sea,"IP8HSWUJAF Street, City, Country",2023-12-10,357.09,Product_ESFZ3,In Transit,270.68,JX69IKA6,Not Returned,2023-12-20,Pending,Event_36JZJ,49.24
PY8ZTNE4MJ,TCY53QOR,Land,"DWMIS4GPX3 Street, City, Country",2023-12-15,403.38,Product_7D06S,In Transit,634.51,8141W70F,Returned,2023-12-20,Cleared,Event_9UTHP,40.29
N0VC38QESD,P50VYTIN,Land,"Z1JFBKVXM9 Street, City, Country",2023-12-10,351.57,Product_IULZV,Delivered,546.91,KWVDYW6U,Not Returned,2023-12-20,Pending,Event_LRCFY,18.35
H84LQP8R7T,INW69KOR,Air,"R19NOXRVUY Street, City, Country",2023-12-10,309.94,Product_OO3T0,Delivered,955.12,S7Y0QTWD,Returned,2023-12-20,Cleared,Event_0AVOO,26.28
LD8UY8SL4T,HRNCS2C5,Sea,"SH27YFMIXN Street, City, Country",2023-12-10,210.19,Product_Z0NZJ,In Transit,166.55,2CPBQZ54,Returned,2023-12-15,Cleared,Event_3WSR8,29.21
C3GYY2X7QM,DZTH0ZES,Sea,"2NFVHD5064 Street, City, Country",2023-12-10,139.93,Product_YHOPE,Delivered,451.73,Q75Y6TYJ,Returned,2023-12-10,Pending,Event_P8S31,47.77
6HGKMCSZNF,BLCTNHPT,Sea,"KVMK24OK7I Street, City, Country",2023-12-15,251.73,Product_3TXDE,In Transit,109.9,6FRB73XZ,Returned,2023-12-10,Pending,Event_IYYU7,38.83
0JTA1H4GLI,SW3Q8TDJ,Sea,"35PZIXOX86 Street, City, Country",2023-12-10,464.44,Product_21V7I,In Transit,494.61,BR65HN58,Returned,2023-12-15,Cleared,Event_QEXFH,22.5
XPR6YVMGMT,9KHM0TV3,Sea,"XRUN9F3TVT Street, City, Country",2023-12-10,392.54,Product_XY6SQ,Shipped,709.67,9IWQXFNA,Returned,2023-12-15,Pending,Event_Q03QZ,42.19
